Genes for module 137
LocusLink	Name	P-value	Description
6857	SYT1	<1e-14	synaptotagmin I.P65; SYT; SVP65.synaptotagmin I.
50649	ARHGEF4	<1e-14	Rho guanine nucleotide exchange factor (GEF) 4.ASEF; GEF4; STM6; KIAA1112; DKFZp434G2016.Rho guanine nucleotide exchange factor 4 isoform b.
2571	GAD1	<1e-14	glutamate decarboxylase 1 (brain, 67kDa).GAD; GAD25; GAD67.glutamate decarboxylase 1 isoform GAD67.
333	APLP1	<1e-14	amyloid beta (A4) precursor-like protein 1.APLP.amyloid beta (A4) precursor-like protein 1.
7108	TM7SF2	<1e-14	transmembrane 7 superfamily member 2.ANG1.transmembrane 7 superfamily member 2.
23532	PRAME	<1e-14	preferentially expressed antigen in melanoma.MAPE; OIP4.preferentially expressed antigen in melanoma.
11156	PTP4A3	<1e-14	protein tyrosine phosphatase type IVA, member 3.PRL3; PRL-3; PRL-R.protein tyrosine phosphatase type IVA, member 3 isoform 2.
3872	KRT17	<1e-14	keratin 17.PC; K17; PC2; PCHC1.keratin 17.
4023	LPL	<1e-14	lipoprotein lipase.LIPD.lipoprotein lipase precursor.
3360	HTR4	<1e-14	5
9378	NRXN1	<1e-14	neurexin 1.Hs.22998; KIAA0578.neurexin 1 isoform beta precursor.
4900	NRGN	<1e-14	neurogranin (protein kinase C substrate, RC3).RC3; hng.neurogranin.
7018	TF	<1e-14	transferrin.PRO1557.transferrin.
5545	PRB4	<1e-14	proline-rich protein BstNI subfamily 4.Po.proline-rich protein BstNI subfamily 4 precursor.
6422	SFRP1	<1e-14	secreted frizzled-related protein 1.FRP; FRP1; FrzA; FRP-1; SARP2.secreted frizzled-related protein 1.
347	APOD	<1e-14	apolipoprotein D..apolipoprotein D precursor.
10962		<1e-14	AF1Q protein.
1114	CHGB	<1e-14	chromogranin B (secretogranin 1).SCG1.chromogranin B precursor.
4137	MAPT	<1e-14	microtubule-associated protein tau.TAU; MSTD; PPND; DDPAC; MAPTL; MTBT1; MTBT2; FTDP-17; FLJ31424.microtubule-associated protein tau isoform 4.
5764	PTN	<1e-14	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1).HARP; HBNF; HBGF8; NEGF1.pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1).
9071	CLDN10	<1e-14	claudin 10.OSP-L; CPETRL3.claudin 10 isoform b.
5274	SERPINI1	<1e-14	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1.PI12; neuroserpin.serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1.
7060	THBS4	<1e-14	thrombospondin 4.TSP4.thrombospondin 4 precursor.
4192	MDK	<1e-14	midkine (neurite growth-promoting factor 2).NEGF2.midkine (neurite growth-promoting factor 2).
1443	CSH2	<1e-14	chorionic somatomammotropin hormone 2.CSB.chorionic somatomammotropin hormone 2 isoform 4.
9254	CACNA2D2	<1e-14	calcium channel, voltage-dependent, alpha 2delta subunit 2.CACNA2D; gene 26; KIAA0558.calcium channel, voltage-dependent, alpha 2delta subunit 2.
22885		<1e-14	KIAA0843 protein.
10368	CACNG3	<1e-14	calcium channel, voltage-dependent, gamma subunit 3..voltage-dependent calcium channel gamma-3 subunit.
5138	PDE2A	<1e-14	phosphodiesterase 2A, cGMP-stimulated..phosphodiesterase 2A, cGMP-stimulated.
1809	DPYSL3	<1e-14	dihydropyrimidinase-like 3.DRP3; ULIP; CRMP4; DRP-3; CRMP-4.dihydropyrimidinase-like 3.
23542	MAPK8IP2	<1e-14	mitogen-activated protein kinase 8 interacting protein 2.IB2; JIP2; PRKM8IPL.mitogen-activated protein kinase 8 interacting protein 2 isoform 3.
10231	DSCR1L1	<1e-14	Down syndrome critical region gene 1-like 1.CSP2; MCIP2; ZAKI-4.Down syndrome critical region gene 1-like 1 protein.Induced by triiodothyronine (T3)|Proteome
6192	RPS4Y	<1e-14	ribosomal protein S4, Y-linked.RPS4Y1.ribosomal protein S4, Y-linked Y isoform.
9201	DCAMKL1	<1e-14	doublecortin and CaM kinase-like 1.DCLK; KIAA0369..
9806	SPOCK2	<1e-14	sparcosteonectin, cwcv and kazal-like domains proteoglycan (testican) 2.KIAA0275; testican-2.sparcosteonectin, cwcv and kazal-like domains proteoglycan (testican) 2.
1381	CRABP1	<1e-14	cellular retinoic acid binding protein 1.RBP5; CRABP; CRABPI; CRABP-I.cellular retinoic acid binding protein 1.
2180	FACL2	<1e-14	fatty-acid-Coenzyme A ligase, long-chain 2.ACS1; LACS; FACL1; LACS1; LACS2.long-chain fatty-acid-Coenzyme A ligase 2.
2261	FGFR3	<1e-14	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism).ACH; CEK2; JTK4; HSFGFR3EX.fibroblast growth factor receptor 3 isoform 2 precursor.
6695	SPOCK	<1e-14	sparcosteonectin, cwcv and kazal-like domains proteoglycan (testican).TIC1; SPOCK1; TESTICAN.sparcosteonectin, cwcv and kazal-like domains proteoglycan precursor.
2628	GATM	<1e-14	glycine amidinotransferase (L-arginine:glycine amidinotransferase).AGAT.glycine amidinotransferase (L-arginine:glycine amidinotransferase).
6804	STX1A	<1e-14	syntaxin 1A (brain).STX1; HPC-1; p35-1.syntaxin 1A (brain).
2944	GSTM1	<1e-14	glutathione S-transferase M1.MU; H-B; GST1; GTH4; GTM1; MU-1; GSTM1-1; MGC26563; GSTM1a-1a; GSTM1b-1b.glutathione S-transferase M1 isoform 2.
3434	IFIT1	<1e-14	interferon-induced protein with tetratricopeptide repeats 1.G10P1; IFI56; IFI-56; IFNAI1; RNM561; GARG-16.interferon-induced protein with tetratricopeptide repeats 1.
7067	THRA	<1e-14	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian).AR7; EAR7; ERBA; ERBA1; NR1A1; THRA1; THRA2; THRA3; EAR-7.1; EAR-7.2; ERB-T-1; MGC43240; c-ERBA-1; MGC000261; ERBA-ALPHA; TR-ALPHA-1; c-ERBA-ALPHA-2.thyroid hormone receptor, alpha isoform 2.
6000	RGS7	<1e-14	regulator of G-protein signalling 7..regulator of G-protein signalling 7.
358	AQP1	<1e-14	aquaporin 1 (channel-forming integral protein, 28kDa).CO; CHIP28; AQP-CHIP; MGC26324.aquaporin 1.
5348	FXYD1	<1e-14	FXYD domain containing ion transport regulator 1 (phospholemman).PLM; MGC44983.phospholemman precursor.
3625	INHBB	<1e-14	inhibin, beta B (activin AB beta polypeptide)..inhibin beta B subunit precursor.
5364	PLXNB1	<1e-14	plexin B1.SEP; PLXN5; KIAA0407; PLEXIN-B1..Plexin 5; involved in mediating cell guidance; member of the plexin family of semaphorin receptors|Proteome
23089	PEG10	<1e-14	paternally expressed 10.Edr; HB-1; MEF3L; KIAA1051.paternally expressed 10.
23136	EPB41L3	<1e-14	erythrocyte membrane protein band 4.1-like 3.4.1B; DAL1; DAL-1; KIAA0987.erythrocyte membrane protein band 4.1-like 3.
22905	EPN2	<1e-14	epsin 2.EHB21; KIAA1065.epsin 2 isoform b.
5121	PCP4	<1e-14	Purkinje cell protein 4.PEP-19.Purkinje cell protein 4.
1400	CRMP1	<1e-14	collapsin response mediator protein 1.DRP1; DRP-1; DPYSL1.collapsin response mediator protein 1.
1363	CPE	<1e-14	carboxypeptidase E..carboxypeptidase E precursor.
5080	PAX6	<1e-14	paired box gene 6 (aniridia, keratitis).AN; AN2; MGDA; WAGR; D11S812E.paired box gene 6 isoform b.
2350	FOLR2	<1e-14	folate receptor 2 (fetal).FR-P3; FR-beta; FBPPL-1; beta-hFR.folate receptor 2 precursor.
4212	MEIS2	<1e-14	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse).MRG1; MGC2820.homeobox protein Meis2 isoform h.
5003	SLC22A1LS	<1e-14	solute carrier family 22 (organic cation transporter), member 1-like antisense.BWR1B; BWSCR1B; ORCTL2S; p27-BWR1B.solute carrier family 22 (organic cation transporter), member 1-like antisense.
8781	PSPHL	<1e-14	phosphoserine phosphatase-like.CO9..
4062	LY6H	<1e-14	lymphocyte antigen 6 complex, locus H.NMLY6.lymphocyte antigen 6 complex, locus H.
5156	PDGFRA	<1e-14	platelet-derived growth factor receptor, alpha polypeptide.CD140A; PDGFR2.platelet-derived growth factor receptor alpha precursor.
1641	DCX	<1e-14	doublecortex; lissencephaly, X-linked (doublecortin).DC; DBCN; LISX; SCLH; XLIS.doublecortin isoform c.
2786	GNG4	<1e-14	guanine nucleotide binding protein (G protein), gamma 4..guanine nucleotide binding protein (G protein), gamma 4.
2562	GABRB3	<1e-14	gamma-aminobutyric acid (GABA) A receptor, beta 3.MGC9051.gamma-aminobutyric acid (GABA) A receptor, beta 3 isoform 2 precursor.
2281	FKBP1B	<1e-14	FK506 binding protein 1B, 12.6 kDa.OTK4; FKBP9; FKBP1L; PKBP1L; PPIase; FKBP12.6.FK506-binding protein 1B isoform b.
1000	CDH2	<1e-14	cadherin 2, type 1, N-cadherin (neuronal).CDHN; NCAD.cadherin 2, type 1 preproprotein.
9892	SNAP91	<1e-14	synaptosomal-associated protein, 91kDa homolog (mouse).AP180; KIAA0656.synaptosomal-associated protein, 91kDa homolog.
7485	WRB	<1e-14	tryptophan rich basic protein.CHD5.tryptophan rich basic protein.
56340		<1e-14	
2353	FOS	<1e-14	v-fos FBJ murine osteosarcoma viral oncogene homolog..v-fos FBJ murine osteosarcoma viral oncogene homolog.
23335	WDR7	<1e-14	WD repeat domain 7.TRAG; KIAA0541.WD repeat domain 7 protein isoform 2.
1159	CKMT1	<1e-14	creatine kinase, mitochondrial 1 (ubiquitous).CKMT; UMTCK.ubiquitous mitochondrial creatine kinase precursor.
2574	GAGE2	<1e-14	G antigen 2..G antigen 2.
7226	TRPM2	<1e-14	transient receptor potential cation channel, subfamily M, member 2.KNP3; EREG1; TRPC7; LTRPC2.transient receptor potential cation channel, subfamily M, member 2.
5645	PRSS2	<1e-14	protease, serine, 2 (trypsin 2).TRY2; TRY8; TRYP2.protease, serine, 2 preproprotein.
83988	NCALD	<1e-14	neurocalcin delta..neurocalcin delta.
4143	MAT1A	<1e-14	methionine adenosyltransferase I, alpha.MAT; SAMS; MATA1; SAMS1.methionine adenosyltransferase I, alpha.
1346	COX7A1	<1e-14	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle).COX7A; COX7AH; COX7AM.cytochrome c oxidase subunit VIIa polypeptide 1 (muscle) precursor.
1428	CRYM	<1e-14	crystallin, mu.THBP; DFNA40.crystallin, mu.
10974		<1e-14	adipose specific 2.
29114		<1e-14	NP22.neuronal protein.
718	C3	<1e-14	complement component 3.ASP.complement component 3 precursor.
770	CA11	<1e-14	carbonic anhydrase XI.CARP2; CA-RP XI.carbonic anhydrase XI precursor.
6035	RNASE1	<1e-14	ribonuclease, RNase A family, 1 (pancreatic).RIB1; RNS1; MGC12408.pancreatic ribonuclease precursor.
4852	NPY	<1e-14	neuropeptide Y..neuropeptide Y.
7103	TM4SF3	<1e-14	transmembrane 4 superfamily member 3.CO-029.transmembrane 4 superfamily member 3.
5265	SERPINA1	<1e-14	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1.PI; A1A; AAT; PI1; A1AT; alpha-1-antitrypsin.serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1.
7704	ZNF145	<1e-14	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia).PLZF.zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia).
8490	RGS5	<1e-14	regulator of G-protein signalling 5.MSTP032.regulator of G-protein signalling 5.
9699	RIMS2	<1e-14	regulating synaptic membrane exocytosis 2.OBOE; RIM2; RAB3IP3; KIAA0751.regulating synaptic membrane exocytosis 2.
5413	PNUTL1	<1e-14	peanut-like 1 (Drosophila).H5; SEPT5; CDCREL; CDCREL1; CDCREL-1; HCDCREL-1.peanut-like 1.
51412	ACTL6	<1e-14	actin-like 6.BAF53B.BAF53b.
