"Rank","Gene","Coefficient","Absolute_Coefficient"
1,"ENSG00000091409",0.209176083854525,0.209176083854525
2,"ENSG00000182621",0.178672342696743,0.178672342696743
3,"ENSG00000100842",-0.159767258903526,0.159767258903526
4,"ENSG00000078596",0.152423584497407,0.152423584497407
5,"ENSG00000128683",-0.150557125805871,0.150557125805871
6,"ENSG00000139352",0.148528438920615,0.148528438920615
7,"ENSG00000164050",-0.138035443129926,0.138035443129926
8,"ENSG00000110492",-0.120708402605577,0.120708402605577
9,"ENSG00000127990",0.119369363459498,0.119369363459498
10,"ENSG00000184113",0.118425318688767,0.118425318688767
11,"ENSG00000072832",-0.117684762295125,0.117684762295125
12,"ENSG00000132535",0.112921148890756,0.112921148890756
13,"ENSG00000134824",0.112590993288653,0.112590993288653
14,"ENSG00000007372",0.10793733185739,0.10793733185739
15,"ENSG00000123933",0.105640397860653,0.105640397860653
