"Rank","Gene","Coefficient","Abs_Coefficient"
1,"ENSG00000091409",0.355013189104494,0.355013189104494
2,"ENSG00000165092",0.281270178014893,0.281270178014893
3,"ENSG00000143819",0.14868771893756,0.14868771893756
4,"ENSG00000196136",-0.136710651912012,0.136710651912012
5,"ENSG00000100842",-0.0850742721510612,0.0850742721510612
6,"ENSG00000161647",-0.0685751879719395,0.0685751879719395
7,"ENSG00000170558",0.0670624602399667,0.0670624602399667
8,"ENSG00000139352",0.0670452621619665,0.0670452621619665
9,"ENSG00000099204",0.0659731585832061,0.0659731585832061
10,"ENSG00000078596",0.0556448112495743,0.0556448112495743
11,"ENSG00000149557",0.0514061415522304,0.0514061415522304
12,"ENSG00000008710",-0.0481595511449046,0.0481595511449046
13,"ENSG00000126351",-0.0420426446964551,0.0420426446964551
14,"ENSG00000114646",0.0406436217324399,0.0406436217324399
15,"ENSG00000110492",-0.0246209334250236,0.0246209334250236
