"ensembl_gene_id","external_gene_name","ensembl_gene_id_version"
"ENSG00000291470","PTP4A3","ENSG00000291470.1"
"ENSG00000274839","PRB4","ENSG00000274839.5"
"ENSG00000277956","MAPT","ENSG00000277956.4"
"ENSG00000185686","PRAME","ENSG00000185686.18"
"ENSG00000134873","CLDN10","ENSG00000134873.11"
"ENSG00000276155","MAPT","ENSG00000276155.4"
"ENSG00000275013","PRAME","ENSG00000275013.4"
"ENSG00000179915","NRXN1","ENSG00000179915.25"
"ENSG00000008735","MAPK8IP2","ENSG00000008735.15"
"ENSG00000275575","PTP4A3","ENSG00000275575.4"
"ENSG00000104332","SFRP1","ENSG00000104332.13"
"ENSG00000164270","HTR4","ENSG00000164270.20"
"ENSG00000186642","PDE2A","ENSG00000186642.16"
"ENSG00000230657","PRB4","ENSG00000230657.9"
"ENSG00000091513","TF","ENSG00000091513.17"
"ENSG00000213218","CSH2","ENSG00000213218.11"
"ENSG00000113657","DPYSL3","ENSG00000113657.14"
"ENSG00000110492","MDK","ENSG00000110492.18"
"ENSG00000007402","CACNA2D2","ENSG00000007402.13"
"ENSG00000006116","CACNG3","ENSG00000006116.5"
"ENSG00000128683","GAD1","ENSG00000128683.15"
"ENSG00000089199","CHGB","ENSG00000089199.11"
"ENSG00000128422","KRT17","ENSG00000128422.19"
"ENSG00000184489","PTP4A3","ENSG00000184489.14"
"ENSG00000136002","ARHGEF4","ENSG00000136002.22"
"ENSG00000154146","NRGN","ENSG00000154146.14"
"ENSG00000105894","PTN","ENSG00000105894.14"
"ENSG00000175445","LPL","ENSG00000175445.18"
"ENSG00000067715","SYT1","ENSG00000067715.16"
"ENSG00000105290","APLP1","ENSG00000105290.15"
"ENSG00000189058","APOD","ENSG00000189058.10"
"ENSG00000113296","THBS4","ENSG00000113296.15"
"ENSG00000163536","SERPINI1","ENSG00000163536.14"
"ENSG00000149809","TM7SF2","ENSG00000149809.18"
"ENSG00000186868","MAPT","ENSG00000186868.19"
"ENSG00000291560","PCP4","ENSG00000291560.1"
"ENSG00000183036","PCP4","ENSG00000183036.11"
"ENSG00000185745","IFIT1","ENSG00000185745.10"
"ENSG00000176956","LY6H","ENSG00000176956.13"
"ENSG00000072832","CRMP1","ENSG00000072832.15"
"ENSG00000274488","LY6H","ENSG00000274488.4"
"ENSG00000163083","INHBB","ENSG00000163083.6"
"ENSG00000007372","PAX6","ENSG00000007372.25"
"ENSG00000171766","GATM","ENSG00000171766.18"
"ENSG00000266964","FXYD1","ENSG00000266964.7"
"ENSG00000107742","SPOCK2","ENSG00000107742.15"
"ENSG00000242265","PEG10","ENSG00000242265.6"
"ENSG00000182901","RGS7","ENSG00000182901.18"
"ENSG00000166426","CRABP1","ENSG00000166426.9"
"ENSG00000082397","EPB41L3","ENSG00000082397.19"
"ENSG00000240583","AQP1","ENSG00000240583.15"
"ENSG00000134138","MEIS2","ENSG00000134138.23"
"ENSG00000165457","FOLR2","ENSG00000165457.16"
"ENSG00000134184","GSTM1","ENSG00000134184.14"
"ENSG00000126351","THRA","ENSG00000126351.14"
"ENSG00000164050","PLXNB1","ENSG00000164050.14"
"ENSG00000068078","FGFR3","ENSG00000068078.21"
"ENSG00000109472","CPE","ENSG00000109472.15"
"ENSG00000134853","PDGFRA","ENSG00000134853.13"
"ENSG00000072134","EPN2","ENSG00000072134.17"
"ENSG00000106089","STX1A","ENSG00000106089.13"
"ENSG00000091157","WDR7","ENSG00000091157.15"
"ENSG00000277377","SERPINA1","ENSG00000277377.4"
"ENSG00000142185","TRPM2","ENSG00000142185.19"
"ENSG00000104490","NCALD","ENSG00000104490.18"
"ENSG00000176406","RIMS2","ENSG00000176406.25"
"ENSG00000166206","GABRB3","ENSG00000166206.16"
"ENSG00000120251","GRIA2","ENSG00000120251.22"
"ENSG00000198910","L1CAM","ENSG00000198910.15"
"ENSG00000161281","COX7A1","ENSG00000161281.11"
"ENSG00000119782","FKBP1B","ENSG00000119782.14"
"ENSG00000151224","MAT1A","ENSG00000151224.14"
"ENSG00000282049","PRSS2","ENSG00000282049.1"
"ENSG00000063180","CA11","ENSG00000063180.10"
